Ellipsoid Axis A X,,,,,
 ==================== ,,,,,
Ellipsoid Axis A X,Unit,Category,Collection,Time,ID
0.856946,µm,Surface,Ellipsoid Axis A,1,0
0,µm,Surface,Ellipsoid Axis A,1,1
0.987609,µm,Surface,Ellipsoid Axis A,1,2
0.884641,µm,Surface,Ellipsoid Axis A,1,3
0.896436,µm,Surface,Ellipsoid Axis A,1,4
0.108944,µm,Surface,Ellipsoid Axis A,1,5
0.642788,µm,Surface,Ellipsoid Axis A,1,6
-0.326746,µm,Surface,Ellipsoid Axis A,1,7
0.0582577,µm,Surface,Ellipsoid Axis A,1,8
0.250062,µm,Surface,Ellipsoid Axis A,1,9
0.242255,µm,Surface,Ellipsoid Axis A,1,10
0.824334,µm,Surface,Ellipsoid Axis A,1,11
0.0309732,µm,Surface,Ellipsoid Axis A,1,12
0.416986,µm,Surface,Ellipsoid Axis A,1,13
0.978876,µm,Surface,Ellipsoid Axis A,1,14
0.947149,µm,Surface,Ellipsoid Axis A,1,15
0.298699,µm,Surface,Ellipsoid Axis A,1,16
0.0877974,µm,Surface,Ellipsoid Axis A,1,17
0.0887409,µm,Surface,Ellipsoid Axis A,1,18
0.876795,µm,Surface,Ellipsoid Axis A,1,19
-0.320162,µm,Surface,Ellipsoid Axis A,1,20
0.148218,µm,Surface,Ellipsoid Axis A,1,21
-0.609328,µm,Surface,Ellipsoid Axis A,1,22
0.494459,µm,Surface,Ellipsoid Axis A,1,23
0.929979,µm,Surface,Ellipsoid Axis A,1,24
0.187421,µm,Surface,Ellipsoid Axis A,1,25
0.847174,µm,Surface,Ellipsoid Axis A,1,26
0.787437,µm,Surface,Ellipsoid Axis A,1,27
0.460699,µm,Surface,Ellipsoid Axis A,1,28
0.165638,µm,Surface,Ellipsoid Axis A,1,29
-0.481028,µm,Surface,Ellipsoid Axis A,1,30
-0.183789,µm,Surface,Ellipsoid Axis A,1,31
0.284792,µm,Surface,Ellipsoid Axis A,1,32
0.980112,µm,Surface,Ellipsoid Axis A,1,33
0.00854939,µm,Surface,Ellipsoid Axis A,1,34
0.786018,µm,Surface,Ellipsoid Axis A,1,35
-0.295596,µm,Surface,Ellipsoid Axis A,1,36
-0.292285,µm,Surface,Ellipsoid Axis A,1,37
-0.939074,µm,Surface,Ellipsoid Axis A,1,38
-0.388154,µm,Surface,Ellipsoid Axis A,1,39
-0.423575,µm,Surface,Ellipsoid Axis A,1,40
0.923357,µm,Surface,Ellipsoid Axis A,1,41
-0.363628,µm,Surface,Ellipsoid Axis A,1,42
-0.598927,µm,Surface,Ellipsoid Axis A,1,43
0.456967,µm,Surface,Ellipsoid Axis A,1,44
0.521249,µm,Surface,Ellipsoid Axis A,1,45
-0.100534,µm,Surface,Ellipsoid Axis A,1,46
0.897805,µm,Surface,Ellipsoid Axis A,1,47
-0.490013,µm,Surface,Ellipsoid Axis A,1,48
0.0992871,µm,Surface,Ellipsoid Axis A,1,49
-0.0811369,µm,Surface,Ellipsoid Axis A,1,50
-0.227788,µm,Surface,Ellipsoid Axis A,1,51
0.210144,µm,Surface,Ellipsoid Axis A,1,52
0.0706077,µm,Surface,Ellipsoid Axis A,1,53
-0.231822,µm,Surface,Ellipsoid Axis A,1,54
-0.152921,µm,Surface,Ellipsoid Axis A,1,55
-0.415424,µm,Surface,Ellipsoid Axis A,1,56
0.144446,µm,Surface,Ellipsoid Axis A,1,57
0.500072,µm,Surface,Ellipsoid Axis A,1,58
0.552476,µm,Surface,Ellipsoid Axis A,1,59
0.809263,µm,Surface,Ellipsoid Axis A,1,60
0.980098,µm,Surface,Ellipsoid Axis A,1,61
-0.320844,µm,Surface,Ellipsoid Axis A,1,62
0.95792,µm,Surface,Ellipsoid Axis A,1,63
-0.735599,µm,Surface,Ellipsoid Axis A,1,64
-0.136081,µm,Surface,Ellipsoid Axis A,1,65
0.713337,µm,Surface,Ellipsoid Axis A,1,66
0.995913,µm,Surface,Ellipsoid Axis A,1,67
0.977121,µm,Surface,Ellipsoid Axis A,1,68
-0.329632,µm,Surface,Ellipsoid Axis A,1,69
0.275291,µm,Surface,Ellipsoid Axis A,1,70
0.217816,µm,Surface,Ellipsoid Axis A,1,71
-0.212756,µm,Surface,Ellipsoid Axis A,1,72
0.106521,µm,Surface,Ellipsoid Axis A,1,73
-0.69608,µm,Surface,Ellipsoid Axis A,1,74
-0.280881,µm,Surface,Ellipsoid Axis A,1,75
-0.824758,µm,Surface,Ellipsoid Axis A,1,76
-0.773193,µm,Surface,Ellipsoid Axis A,1,77
0.838223,µm,Surface,Ellipsoid Axis A,1,78
0.419638,µm,Surface,Ellipsoid Axis A,1,79
0.64656,µm,Surface,Ellipsoid Axis A,1,80
-0.70282,µm,Surface,Ellipsoid Axis A,1,81
0.282126,µm,Surface,Ellipsoid Axis A,1,82
-0.798416,µm,Surface,Ellipsoid Axis A,1,83
0.915563,µm,Surface,Ellipsoid Axis A,1,84
-0.132775,µm,Surface,Ellipsoid Axis A,1,85
-0.912779,µm,Surface,Ellipsoid Axis A,1,86
0.825193,µm,Surface,Ellipsoid Axis A,1,87
0.557343,µm,Surface,Ellipsoid Axis A,1,88
0.573243,µm,Surface,Ellipsoid Axis A,1,89
0.978665,µm,Surface,Ellipsoid Axis A,1,90
0.686676,µm,Surface,Ellipsoid Axis A,1,91
0.189562,µm,Surface,Ellipsoid Axis A,1,92
0.984109,µm,Surface,Ellipsoid Axis A,1,93
-0.15957,µm,Surface,Ellipsoid Axis A,1,94
0.000633262,µm,Surface,Ellipsoid Axis A,1,95
0.236208,µm,Surface,Ellipsoid Axis A,1,96
-0.899713,µm,Surface,Ellipsoid Axis A,1,97
0.750262,µm,Surface,Ellipsoid Axis A,1,98
-0.0416607,µm,Surface,Ellipsoid Axis A,1,99
0.770498,µm,Surface,Ellipsoid Axis A,1,100
-0.417656,µm,Surface,Ellipsoid Axis A,1,101
-0.974032,µm,Surface,Ellipsoid Axis A,1,102
-0.427717,µm,Surface,Ellipsoid Axis A,1,103
0.988789,µm,Surface,Ellipsoid Axis A,1,104
0.68195,µm,Surface,Ellipsoid Axis A,1,105
0.893721,µm,Surface,Ellipsoid Axis A,1,106
0.836326,µm,Surface,Ellipsoid Axis A,1,107
0.566617,µm,Surface,Ellipsoid Axis A,1,108
0.333779,µm,Surface,Ellipsoid Axis A,1,109
0.143792,µm,Surface,Ellipsoid Axis A,1,110
0.981461,µm,Surface,Ellipsoid Axis A,1,111
-0.93476,µm,Surface,Ellipsoid Axis A,1,112
0.507488,µm,Surface,Ellipsoid Axis A,1,113
0.305074,µm,Surface,Ellipsoid Axis A,1,114
-0.423248,µm,Surface,Ellipsoid Axis A,1,115
0.688278,µm,Surface,Ellipsoid Axis A,1,116
0.984235,µm,Surface,Ellipsoid Axis A,1,117
0.621311,µm,Surface,Ellipsoid Axis A,1,118
-0.806998,µm,Surface,Ellipsoid Axis A,1,119
0.854762,µm,Surface,Ellipsoid Axis A,1,120
0.963581,µm,Surface,Ellipsoid Axis A,1,121
0.524713,µm,Surface,Ellipsoid Axis A,1,122
-0.939927,µm,Surface,Ellipsoid Axis A,1,123
0.807613,µm,Surface,Ellipsoid Axis A,1,124
0.887572,µm,Surface,Ellipsoid Axis A,1,125
0.845901,µm,Surface,Ellipsoid Axis A,1,126
-0.468263,µm,Surface,Ellipsoid Axis A,1,127
0.519708,µm,Surface,Ellipsoid Axis A,1,128
0.99245,µm,Surface,Ellipsoid Axis A,1,129
0.999476,µm,Surface,Ellipsoid Axis A,1,130
0.333655,µm,Surface,Ellipsoid Axis A,1,131
0.466501,µm,Surface,Ellipsoid Axis A,1,132
0.961771,µm,Surface,Ellipsoid Axis A,1,133
0.0651043,µm,Surface,Ellipsoid Axis A,1,134
0.704208,µm,Surface,Ellipsoid Axis A,1,135
0.637348,µm,Surface,Ellipsoid Axis A,1,136
-0.972657,µm,Surface,Ellipsoid Axis A,1,137
-0.0542982,µm,Surface,Ellipsoid Axis A,1,138
0.317379,µm,Surface,Ellipsoid Axis A,1,139
0.464497,µm,Surface,Ellipsoid Axis A,1,140
0.94157,µm,Surface,Ellipsoid Axis A,1,141
-0.757986,µm,Surface,Ellipsoid Axis A,1,142
0.075829,µm,Surface,Ellipsoid Axis A,1,143
0.290377,µm,Surface,Ellipsoid Axis A,1,144
0.715298,µm,Surface,Ellipsoid Axis A,1,145
0.995756,µm,Surface,Ellipsoid Axis A,1,146
0.954854,µm,Surface,Ellipsoid Axis A,1,147
0.975864,µm,Surface,Ellipsoid Axis A,1,148
0.814668,µm,Surface,Ellipsoid Axis A,1,149
0.220574,µm,Surface,Ellipsoid Axis A,1,150
-0.27726,µm,Surface,Ellipsoid Axis A,1,151
-0.0931011,µm,Surface,Ellipsoid Axis A,1,152
-0.0718987,µm,Surface,Ellipsoid Axis A,1,153
0.0837713,µm,Surface,Ellipsoid Axis A,1,154
0.358016,µm,Surface,Ellipsoid Axis A,1,155
-0.135729,µm,Surface,Ellipsoid Axis A,1,156
0.283441,µm,Surface,Ellipsoid Axis A,1,157
0.909815,µm,Surface,Ellipsoid Axis A,1,158
0.299545,µm,Surface,Ellipsoid Axis A,1,159
0.0890657,µm,Surface,Ellipsoid Axis A,1,160
-0.574734,µm,Surface,Ellipsoid Axis A,1,161
0.948909,µm,Surface,Ellipsoid Axis A,1,162
0.807885,µm,Surface,Ellipsoid Axis A,1,163
0.0221323,µm,Surface,Ellipsoid Axis A,1,164
0.68646,µm,Surface,Ellipsoid Axis A,1,165
0.939563,µm,Surface,Ellipsoid Axis A,1,166
-0.31694,µm,Surface,Ellipsoid Axis A,1,167
0.44941,µm,Surface,Ellipsoid Axis A,1,168
-0.502039,µm,Surface,Ellipsoid Axis A,1,169
0.446537,µm,Surface,Ellipsoid Axis A,1,170
-0.555805,µm,Surface,Ellipsoid Axis A,1,171
-0.808178,µm,Surface,Ellipsoid Axis A,1,172
-0.704497,µm,Surface,Ellipsoid Axis A,1,173
0.203152,µm,Surface,Ellipsoid Axis A,1,174
0.176995,µm,Surface,Ellipsoid Axis A,1,175
0.00331098,µm,Surface,Ellipsoid Axis A,1,176
-0.954781,µm,Surface,Ellipsoid Axis A,1,177
0.333214,µm,Surface,Ellipsoid Axis A,1,178
0.0639413,µm,Surface,Ellipsoid Axis A,1,179
0.126685,µm,Surface,Ellipsoid Axis A,1,180
-0.0439643,µm,Surface,Ellipsoid Axis A,1,181
0.700386,µm,Surface,Ellipsoid Axis A,1,182
0.0570593,µm,Surface,Ellipsoid Axis A,1,183
0.121175,µm,Surface,Ellipsoid Axis A,1,184
0.898931,µm,Surface,Ellipsoid Axis A,1,185
-0.108282,µm,Surface,Ellipsoid Axis A,1,186
0.985951,µm,Surface,Ellipsoid Axis A,1,187
-0.195158,µm,Surface,Ellipsoid Axis A,1,188
0.936271,µm,Surface,Ellipsoid Axis A,1,189
0.996268,µm,Surface,Ellipsoid Axis A,1,190
6.33E-12,µm,Surface,Ellipsoid Axis A,1,191
0.613835,µm,Surface,Ellipsoid Axis A,1,192
0.235664,µm,Surface,Ellipsoid Axis A,1,193
-0.706172,µm,Surface,Ellipsoid Axis A,1,194
0.950552,µm,Surface,Ellipsoid Axis A,1,195
0.99258,µm,Surface,Ellipsoid Axis A,1,196
