Ellipticity (prolate),,,,
 ==================== ,,,,
Ellipticity (prolate),Unit,Category,Time,ID
0.81695,,Surface,1,0
0.347635,,Surface,1,1
0.410483,,Surface,1,2
0.691604,,Surface,1,3
0.547943,,Surface,1,4
0.079551,,Surface,1,5
0.299974,,Surface,1,6
0.467406,,Surface,1,7
0.372955,,Surface,1,8
0.176548,,Surface,1,9
0.463063,,Surface,1,10
0.415455,,Surface,1,11
0.296174,,Surface,1,12
0.646349,,Surface,1,13
0.341351,,Surface,1,14
0.382969,,Surface,1,15
0.141915,,Surface,1,16
0.119296,,Surface,1,17
0.68828,,Surface,1,18
0.201275,,Surface,1,19
0.311797,,Surface,1,20
0.535538,,Surface,1,21
0.357074,,Surface,1,22
0.780616,,Surface,1,23
0.312258,,Surface,1,24
0.462573,,Surface,1,25
0.393311,,Surface,1,26
0.733362,,Surface,1,27
0.161879,,Surface,1,28
0.501584,,Surface,1,29
0.598243,,Surface,1,30
0.225192,,Surface,1,31
0.266986,,Surface,1,32
0.529563,,Surface,1,33
0.173475,,Surface,1,34
0.473228,,Surface,1,35
0.24322,,Surface,1,36
0.327736,,Surface,1,37
0.526286,,Surface,1,38
0.647116,,Surface,1,39
0.40082,,Surface,1,40
0.515957,,Surface,1,41
0.649442,,Surface,1,42
0.294383,,Surface,1,43
0.66852,,Surface,1,44
0.527467,,Surface,1,45
0.263011,,Surface,1,46
0.275462,,Surface,1,47
0.557837,,Surface,1,48
0.349522,,Surface,1,49
0.393397,,Surface,1,50
0.418252,,Surface,1,51
0.524951,,Surface,1,52
0.23351,,Surface,1,53
0.298851,,Surface,1,54
0.516708,,Surface,1,55
0.318957,,Surface,1,56
0.286763,,Surface,1,57
0.411547,,Surface,1,58
0.638283,,Surface,1,59
0.458163,,Surface,1,60
0.635099,,Surface,1,61
0.613374,,Surface,1,62
0.602209,,Surface,1,63
0.598036,,Surface,1,64
0.190833,,Surface,1,65
0.251006,,Surface,1,66
0.328003,,Surface,1,67
0.379927,,Surface,1,68
0.433465,,Surface,1,69
0.734269,,Surface,1,70
0.169671,,Surface,1,71
0.27137,,Surface,1,72
0.472238,,Surface,1,73
0.34356,,Surface,1,74
0.311504,,Surface,1,75
0.552776,,Surface,1,76
0.426813,,Surface,1,77
0.688431,,Surface,1,78
0.511192,,Surface,1,79
0.568433,,Surface,1,80
0.185801,,Surface,1,81
0.314108,,Surface,1,82
0.226499,,Surface,1,83
0.202715,,Surface,1,84
0.468975,,Surface,1,85
0.660693,,Surface,1,86
0.233386,,Surface,1,87
0.404759,,Surface,1,88
0.319301,,Surface,1,89
0.315926,,Surface,1,90
0.733655,,Surface,1,91
0.359353,,Surface,1,92
0.63649,,Surface,1,93
0.65194,,Surface,1,94
0.193948,,Surface,1,95
0.533384,,Surface,1,96
0.387853,,Surface,1,97
0.575751,,Surface,1,98
0.277614,,Surface,1,99
0.692835,,Surface,1,100
0.753346,,Surface,1,101
0.238667,,Surface,1,102
0.587757,,Surface,1,103
0.489902,,Surface,1,104
0.711585,,Surface,1,105
0.287806,,Surface,1,106
0.321506,,Surface,1,107
0.344902,,Surface,1,108
0.70419,,Surface,1,109
0.506008,,Surface,1,110
0.421362,,Surface,1,111
0.684677,,Surface,1,112
0.588397,,Surface,1,113
0.446331,,Surface,1,114
0.747078,,Surface,1,115
0.59838,,Surface,1,116
0.0855812,,Surface,1,117
0.54976,,Surface,1,118
0.23807,,Surface,1,119
0.548525,,Surface,1,120
0.618046,,Surface,1,121
0.436916,,Surface,1,122
0.488698,,Surface,1,123
0.278443,,Surface,1,124
0.555102,,Surface,1,125
0.637741,,Surface,1,126
0.69547,,Surface,1,127
0.667817,,Surface,1,128
0.328949,,Surface,1,129
0.671042,,Surface,1,130
0.553854,,Surface,1,131
0.458992,,Surface,1,132
0.662526,,Surface,1,133
0.404679,,Surface,1,134
0.659419,,Surface,1,135
0.185304,,Surface,1,136
0.529656,,Surface,1,137
0.49429,,Surface,1,138
0.416941,,Surface,1,139
0.289516,,Surface,1,140
0.516604,,Surface,1,141
0.425638,,Surface,1,142
0.730453,,Surface,1,143
0.331766,,Surface,1,144
0.592482,,Surface,1,145
0.286887,,Surface,1,146
0.464014,,Surface,1,147
0.390168,,Surface,1,148
0.558095,,Surface,1,149
0.21442,,Surface,1,150
0.462244,,Surface,1,151
0.190879,,Surface,1,152
0.262892,,Surface,1,153
0.22777,,Surface,1,154
0.623006,,Surface,1,155
0.728639,,Surface,1,156
0.207349,,Surface,1,157
0.284692,,Surface,1,158
0.356741,,Surface,1,159
0.352249,,Surface,1,160
0.263302,,Surface,1,161
0.444021,,Surface,1,162
0.719647,,Surface,1,163
0.441275,,Surface,1,164
0.664045,,Surface,1,165
0.23437,,Surface,1,166
0.171353,,Surface,1,167
0.572689,,Surface,1,168
0.461059,,Surface,1,169
0.797944,,Surface,1,170
0.600302,,Surface,1,171
0.324263,,Surface,1,172
0.31314,,Surface,1,173
0.469061,,Surface,1,174
0.356383,,Surface,1,175
0.37742,,Surface,1,176
0.289506,,Surface,1,177
0.158415,,Surface,1,178
0.331758,,Surface,1,179
0.494845,,Surface,1,180
0.651651,,Surface,1,181
0.276874,,Surface,1,182
0.591152,,Surface,1,183
0.317323,,Surface,1,184
0.313227,,Surface,1,185
0.34993,,Surface,1,186
0.749239,,Surface,1,187
0.243462,,Surface,1,188
0.516457,,Surface,1,189
0.293818,,Surface,1,190
0.54695,,Surface,1,191
0.47093,,Surface,1,192
0.568425,,Surface,1,193
0.175338,,Surface,1,194
0.808396,,Surface,1,195
0.289421,,Surface,1,196
